Year,Country,Location Name,F: Total,M: Total,Overall total,,,,,,,,,,,,,,,
2013,Afghanistan,Paktia : Wilayat - Province,7711,7288,14999,,,,,,,,,,,,,,,
2013,Afghanistan,Nuristan : Wilayat - Province,2717,2648,5365,,,,,,,,,,,,,,,
2013,Afghanistan,Nimruz : Wilayat - Province,212,253,465,,,,,,,,,,,,,,,
2013,Afghanistan,Nimroz : Wilayat - Province,246,239,485,,,,,,,,,,,,,,,
2013,Afghanistan,Nangarhar : Wilayat - Province,75856,74279,150135,,,,,,,,,,,,,,,
2013,Afghanistan,Logar : Wilayat - Province,9221,9008,18229,,,,,,,,,,,,,,,
2013,Afghanistan,Laghman : Wilayat - Province,9896,9716,19612,,,,,,,,,,,,,,,
2013,Afghanistan,Kunduz : Wilayat - Province,14228,14566,28794,,,,,,,,,,,,,,,
2013,Afghanistan,Kunar : Wilayat - Province,22021,21876,43897,,,,,,,,,,,,,,,
2013,Afghanistan,Khost : Wilayat - Province,6902,6738,13640,,,,,,,,,,,,,,,
2013,Afghanistan,Kapisa : Wilayat - Province,2916,2859,5775,,,,,,,,,,,,,,,
2013,Afghanistan,Kandahar : Wilayat - Province,31497,31474,62971,,,,,,,,,,,,,,,
2013,Afghanistan,Kabul : Wilayat - Province,39491,38398,77889,,,,,,,,,,,,,,,
2013,Afghanistan,Jowzjan : Wilayat - Province,4011,3879,7890,,,,,,,,,,,,,,,
2013,Afghanistan,Jawzjan : Wilayat - Province,5655,5495,11150,,,,,,,,,,,,,,,
2013,Afghanistan,Hirat : Wilayat - Province,55971,54385,110356,,,,,,,,,,,,,,,
2013,Afghanistan,Hilmand : Wilayat - Province,61058,59331,120389,,,,,,,,,,,,,,,
2013,Afghanistan,Herat : Wilayat - Province,7432,7493,14925,,,,,,,,,,,,,,,
2013,Afghanistan,Helmand : Wilayat - Province,4466,4547,9013,,,,,,,,,,,,,,,
2013,Afghanistan,Ghor : Wilayat - Province,16056,15634,31690,,,,,,,,,,,,,,,
2013,Afghanistan,Ghazni : Wilayat - Province,12674,12423,25097,,,,,,,,,,,,,,,
2013,Afghanistan,Faryab : Wilayat - Province,22716,22094,44810,,,,,,,,,,,,,,,
2013,Afghanistan,Farah : Wilayat - Province,7607,7462,15069,,,,,,,,,,,,,,,
2013,Afghanistan,Daykundi : Wilayat - Province,181,198,379,,,,,,,,,,,,,,,
2013,Afghanistan,Bamyan : Wilayat - Province,581,534,1115,,,,,,,,,,,,,,,
2013,Afghanistan,Balkh : Wilayat - Province,11037,10824,21861,,,,,,,,,,,,,,,
2013,Afghanistan,Baghlan : Wilayat - Province,6568,6617,13185,,,,,,,,,,,,,,,
2013,Afghanistan,Badghis : Wilayat - Province,8798,8564,17362,,,,,,,,,,,,,,,
2013,Afghanistan,Badakhshan : Wilayat - Province,1382,1410,2792,,,,,,,,,,,,,,,
2013,Afghanistan,Afghanistan : Dispersed in the country / territory,1014,733,1747,,,,,,,,,,,,,,,
2014,Afghanistan,Zabul : Wilayat - Province,6939,6883,13822,,,,,,,,,,,,,,,
2014,Afghanistan,Wardak : Wilayat - Province,14627,14516,29143,,,,,,,,,,,,,,,
2014,Afghanistan,Uruzgan : Wilayat - Province,11551,11494,23045,,,,,,,,,,,,,,,
2014,Afghanistan,Urozgan : Wilayat - Province,72,68,140,,,,,,,,,,,,,,,
2014,Afghanistan,Takhar : Wilayat - Province,1925,1848,3773,,,,,,,,,,,,,,,
2014,Afghanistan,Sar-e Pul : Wilayat - Province,656,624,1280,,,,,,,,,,,,,,,
2014,Afghanistan,Sar-e Pol : Wilayat - Province,8321,8203,16524,,,,,,,,,,,,,,,
2014,Afghanistan,Samangan : Wilayat - Province,974,945,1919,,,,,,,,,,,,,,,
2014,Afghanistan,Parwan : Wilayat - Province,5061,4951,10012,,,,,,,,,,,,,,,
2014,Afghanistan,Panjshir : Wilayat - Province,205,197,402,,,,,,,,,,,,,,,
2014,Afghanistan,Panjsher : Wilayat - Province,642,638,1280,,,,,,,,,,,,,,,
2014,Afghanistan,Paktya : Wilayat - Province,6724,6565,13289,,,,,,,,,,,,,,,
2014,Afghanistan,Paktika : Wilayat - Province,39110,37635,76745,,,,,,,,,,,,,,,
2014,Afghanistan,Paktia : Wilayat - Province,1762,1681,3443,,,,,,,,,,,,,,,
2014,Afghanistan,Nuristan : Wilayat - Province,2988,2966,5954,,,,,,,,,,,,,,,
2014,Afghanistan,Nimruz : Wilayat - Province,193,182,375,,,,,,,,,,,,,,,
2014,Afghanistan,Nimroz : Wilayat - Province,247,244,491,,,,,,,,,,,,,,,
2014,Afghanistan,Nangarhar : Wilayat - Province,71897,70478,142375,,,,,,,,,,,,,,,
2014,Afghanistan,Logar : Wilayat - Province,10277,10096,20373,,,,,,,,,,,,,,,
2014,Afghanistan,Laghman : Wilayat - Province,7857,7643,15500,,,,,,,,,,,,,,,
2014,Afghanistan,Kunduz : Wilayat - Province,16546,16036,32582,,,,,,,,,,,,,,,
2014,Afghanistan,Kunar : Wilayat - Province,25373,24944,50317,,,,,,,,,,,,,,,
2014,Afghanistan,Khost : Wilayat - Province,111675,107459,219134,,,,,,,,,,,,,,,
2014,Afghanistan,Kapisa : Wilayat - Province,4425,4368,8793,,,,,,,,,,,,,,,
2014,Afghanistan,Kandahar : Wilayat - Province,32025,31610,63635,,,,,,,,,,,,,,,
2014,Afghanistan,Kabul : Wilayat - Province,38506,37457,75963,,,,,,,,,,,,,,,
2014,Afghanistan,Jawzjan : Wilayat - Province,8516,8387,16903,,,,,,,,,,,,,,,
2014,Afghanistan,Hirat : Wilayat - Province,47849,47595,95444,,,,,,,,,,,,,,,
2014,Afghanistan,Hilmand : Wilayat - Province,1728,1645,3373,,,,,,,,,,,,,,,
2014,Afghanistan,Herat : Wilayat - Province,15311,14974,30285,,,,,,,,,,,,,,,
2014,Afghanistan,Helmand : Wilayat - Province,63496,63080,126576,,,,,,,,,,,,,,,
2014,Afghanistan,Ghor : Wilayat - Province,19161,19056,38217,,,,,,,,,,,,,,,
2014,Afghanistan,Ghazni : Wilayat - Province,20731,20575,41306,,,,,,,,,,,,,,,
2014,Afghanistan,Faryab : Wilayat - Province,22498,22341,44839,,,,,,,,,,,,,,,
2014,Afghanistan,Farah : Wilayat - Province,14680,14538,29218,,,,,,,,,,,,,,,
2014,Afghanistan,Daykundi : Wilayat - Province,190,183,373,,,,,,,,,,,,,,,
2014,Afghanistan,Bamyan: Wilayat - Province,72,69,141,,,,,,,,,,,,,,,
2014,Afghanistan,Bamyan : Wilayat - Province,435,420,855,,,,,,,,,,,,,,,
2014,Afghanistan,Balkh : Wilayat - Province,12341,12096,24437,,,,,,,,,,,,,,,
2014,Afghanistan,Baghlan : Wllayat - Province,3699,3527,7226,,,,,,,,,,,,,,,
2014,Afghanistan,Baghlan : Wilayat - Province,2087,2022,4109,,,,,,,,,,,,,,,
2014,Afghanistan,Badghis:Wllayet - Province,7,6,13,,,,,,,,,,,,,,,
2014,Afghanistan,Badghis : Wllayat - Province,30,29,59,,,,,,,,,,,,,,,
2014,Afghanistan,Badghis : Wilayat - Province,13901,13830,27731,,,,,,,,,,,,,,,
2014,Afghanistan,Badakhshan : Wilayat - Province,1306,1294,2600,,,,,,,,,,,,,,,
2014,Afghanistan,Badakhshan,80,77,157,,,,,,,,,,,,,,,
2001,Central African Rep.,Molangue,1111,1213,2324,,,,,,,,,,,,,,,
2001,Central African Rep.,Mboki,15692,20026,35718,,,,,,,,,,,,,,,
2001,Central African Rep.,Kbando,46,112,158,,,,,,,,,,,,,,,
2001,Central African Rep.,Boubou,289,345,634,,,,,,,,,,,,,,,
2001,Central African Rep.,Bangui,4997,5408,14011,,,,,,,,,,,,,,,
2002,Central African Rep.,Sam ouandja,129,233,362,,,,,,,,,,,,,,,
2002,Central African Rep.,Molangue,1413,1516,2929,,,,,,,,,,,,,,,
2002,Central African Rep.,Mboki,16060,20343,36403,,,,,,,,,,,,,,,
2002,Central African Rep.,Kbando,80,91,171,,,,,,,,,,,,,,,
2002,Central African Rep.,Boubou,288,341,629,,,,,,,,,,,,,,,
2002,Central African Rep.,Bangui,4843,5388,10231,,,,,,,,,,,,,,,
2003,Central African Rep.,Molangue,1408,1539,2947,,,,,,,,,,,,,,,
2003,Central African Rep.,Mboki,15823,20027,35850,,,,,,,,,,,,,,,
2003,Central African Rep.,Kbando,80,91,171,,,,,,,,,,,,,,,
2003,Central African Rep.,Boubou,319,398,717,,,,,,,,,,,,,,,
2003,Central African Rep.,Bangui,2164,2904,5068,,,,,,,,,,,,,,,
2004,Central African Rep.,Molangue,429,571,1000,,,,,,,,,,,,,,,
2004,Central African Rep.,Mboki,9566,9679,19245,,,,,,,,,,,,,,,
2004,Central African Rep.,Kbando,73,86,159,,,,,,,,,,,,,,,
2004,Central African Rep.,Boubou,579,698,1277,,,,,,,,,,,,,,,
2004,Central African Rep.,Bangui,2671,3416,6087,,,,,,,,,,,,,,,
2005,Central African Rep.,Molangue,404,533,937,,,,,,,,,,,,,,,
2005,Central African Rep.,Mboki,9524,9679,19203,,,,,,,,,,,,,,,
2005,Central African Rep.,Kbando,73,86,159,,,,,,,,,,,,,,,
2005,Central African Rep.,Bangui,3025,3205,6230,,,,,,,,,,,,,,,
2006,Central African Rep.,Vakaga,6515,6515,10000,,,,,,,,,,,,,,,
2006,Central African Rep.,Ouham ,13030,13030,20000,,,,,,,,,,,,,,,
2006,Central African Rep.,Pastoralists,19545,19545,30000,,,,,,,,,,,,,,,
2006,Central African Rep.,Ouham Pende,19545,19545,30000,,,,,,,,,,,,,,,
2006,Central African Rep.,Nana -Mambere,9768,9774,15000,,,,,,,,,,,,,,,
2006,Central African Rep.,Nana -Gribizi,13030,13030,20000,,,,,,,,,,,,,,,
2006,Central African Rep.,Molangue,567,718,937,,,,,,,,,,,,,,,
2006,Central African Rep.,Mboki,4226,4427,6657,,,,,,,,,,,,,,,
2006,Central African Rep.,Kbandoro,105,118,159,,,,,,,,,,,,,,,
2006,Central African Rep.,Haute Kotto,9768,9774,15000,,,,,,,,,,,,,,,
2006,Central African Rep.,Bangui,3549,4623,6531,,,,,,,,,,,,,,,
2006,Central African Rep.,Bamingui-Bangoran,4520,4500,7000,,,,,,,,,,,,,,,
2007,Central African Rep.,Vakaga,14010,13933,20000,,,,,,,,,,,,,,,
2007,Central African Rep.,Sam Ouandja,1830,1791,2711,,,,,,,,,,,,,,,
2007,Central African Rep.,Ouham Pende,32657,32534,50000,,,,,,,,,,,,,,,
2007,Central African Rep.,Ouham ,16028,16060,24000,,,,,,,,,,,,,,,
2007,Central African Rep.,Nana-Mambere,15570,16950,25000,,,,,,,,,,,,,,,
2007,Central African Rep.,Nana-Gribizi,18756,18345,28000,,,,,,,,,,,,,,,
2007,Central African Rep.,Molangue,81,71,112,,,,,,,,,,,,,,,
2007,Central African Rep.,Mboki,167,109,200,,,,,,,,,,,,,,,
2007,Central African Rep.,Haute Kotto,11679,11852,17000,,,,,,,,,,,,,,,
2007,Central African Rep.,Bangui,3392,4680,6498,,,,,,,,,,,,,,,
2007,Central African Rep.,Bamingui-Bangoran,5240,4960,8000,,,,,,,,,,,,,,,
2008,Central African Rep.,Sam Ouandja,2184,2159,3244,,,,,,,,,,,,,,,
2008,Central African Rep.,Ouham Pende,32500,35500,50000,,,,,,,,,,,,,,,
2008,Central African Rep.,Nomadic herders,16250,17750,25000,,,,,,,,,,,,,,,
2008,Central African Rep.,Nana -Mambere,16250,17750,25000,,,,,,,,,,,,,,,
2008,Central African Rep.,Nana -Gribizi,18200,19880,28000,,,,,,,,,,,,,,,
2008,Central African Rep.,Haute Kotto,11050,12070,17000,,,,,,,,,,,,,,,
2008,Central African Rep.,Bamingui-Bangoran,5200,5680,8000,,,,,,,,,,,,,,,
2008,Central African Rep.,Vakaga,13000,14200,20000,,,,,,,,,,,,,,,
2008,Central African Rep.,Ouham ,15600,17040,24000,,,,,,,,,,,,,,,
2008,Central African Rep.,Molangue,81,71,112,,,,,,,,,,,,,,,
2008,Central African Rep.,Mboki,167,109,200,,,,,,,,,,,,,,,
2008,Central African Rep.,Bangui,2690,4049,5336,,,,,,,,,,,,,,,
2009,Central African Rep.,Sam Ouandja,2184,2159,3244,,,,,,,,,,,,,,,
2009,Central African Rep.,Ouham-Pende,32657,32534,50000,,,,,,,,,,,,,,,
2009,Central African Rep.,Nana Mambere,15530,16990,25000,,,,,,,,,,,,,,,
2009,Central African Rep.,Nana Grebizi,15411,21549,28000,,,,,,,,,,,,,,,
2009,Central African Rep.,Hautte-Kotto,10999,12831,17000,,,,,,,,,,,,,,,
2009,Central African Rep.,Haut Mbomou,2925,4000,5000,,,,,,,,,,,,,,,
2009,Central African Rep.,Bangui,2995,4080,5509,,,,,,,,,,,,,,,
2009,Central African Rep.,Bamingui-Bangora,5240,4960,8000,,,,,,,,,,,,,,,
2009,Central African Rep.,Zemio,1498,1613,2480,,,,,,,,,,,,,,,
2009,Central African Rep.,Vakaga,14014,13709,20000,,,,,,,,,,,,,,,
2009,Central African Rep.,Ouham,16924,17918,24000,,,,,,,,,,,,,,,
2009,Central African Rep.,Obo,214,198,337,,,,,,,,,,,,,,,
2009,Central African Rep.,Mongoumba,10585,10917,15581,,,,,,,,,,,,,,,
2009,Central African Rep.,Molangue,81,71,112,,,,,,,,,,,,,,,
2009,Central African Rep.,Mboki,695,627,1046,,,,,,,,,,,,,,,
2009,Central African Rep.,Eleveurs,13890,13441,20000,,,,,,,,,,,,,,,
2010,Central African Rep.,Zemio : Sous-pr̩fecture,1580,1868,3448,,,,,,,,,,,,,,,
2010,Central African Rep.,Vakaga : Prefecture,6112,6088,12200,,,,,,,,,,,,,,,
2010,Central African Rep.,Sam Ouandja : Point,808,794,1602,,,,,,,,,,,,,,,
2010,Central African Rep.,Ouham-pende : Prefecture,27116,26941,54057,,,,,,,,,,,,,,,
2010,Central African Rep.,Ouham : Prefecture,22544,21621,44165,,,,,,,,,,,,,,,
2010,Central African Rep.,Obo : Sous-pr̩fecture,318,382,700,,,,,,,,,,,,,,,
2010,Central African Rep.,Nana-Griizi,9525,10475,20000,,,,,,,,,,,,,,,
2010,Central African Rep.,Nana Mambere : Prefecture,10030,11277,21307,,,,,,,,,,,,,,,
2010,Central African Rep.,Mongoumba : Sous-pr̩fecture,4045,3955,8000,,,,,,,,,,,,,,,
2010,Central African Rep.,Mboki : Point,746,754,1500,,,,,,,,,,,,,,,
2010,Central African Rep.,Hautte-kotto : Prefecture,4279,4521,8800,,,,,,,,,,,,,,,
2010,Central African Rep.,Haut-mboumou : Prefecture,7643,8357,16000,,,,,,,,,,,,,,,
2010,Central African Rep.,Central African Republic : Dispersed in the country / territory,5,11,16,,,,,,,,,,,,,,,
2010,Central African Rep.,Bangui : Sous-pr̩fecture,2370,3422,5792,,,,,,,,,,,,,,,
2010,Central African Rep.,Bamingui-bangora : Prefecture,5370,4630,10000,,,,,,,,,,,,,,,
2010,Central African Rep.,Momou,3021,2979,6000,,,,,,,,,,,,,,,
2010,Central African Rep.,Bambari,941,810,1751,,,,,,,,,,,,,,,
2011,Central African Rep.,Zemio : Sous-prefecture,1665,1622,3287,,,,,,,,,,,,,,,
2011,Central African Rep.,Obo : Sous-prefecture,449,421,870,,,,,,,,,,,,,,,
2011,Central African Rep.,Mongoumba : Sous-prefecture,3673,3305,6978,,,,,,,,,,,,,,,
2011,Central African Rep.,Mboki : Point,615,589,1204,,,,,,,,,,,,,,,
2011,Central African Rep.,Bangui : Sous-prefecture,2247,2688,4935,,,,,,,,,,,,,,,
2011,Central African Rep.,Bamingui-bangora : Prefecture,7447,6935,14382,,,,,,,,,,,,,,,
2011,Central African Rep.,Bambari : Point,2390,2515,4905,,,,,,,,,,,,,,,
2011,Central African Rep.,Vakaga : Prefecture,3485,3534,7019,,,,,,,,,,,,,,,
2011,Central African Rep.,Ouham-pende : Prefecture,32446,30577,63023,,,,,,,,,,,,,,,
2011,Central African Rep.,Ouham : Prefecture,14644,14521,29165,,,,,,,,,,,,,,,
2011,Central African Rep.,Nana-Griizi : Point,5473,6719,12192,,,,,,,,,,,,,,,
2011,Central African Rep.,Nana Mambere : Prefecture,10276,11031,21307,,,,,,,,,,,,,,,
2011,Central African Rep.,Momou : Point,4179,4463,8642,,,,,,,,,,,,,,,
2011,Central African Rep.,Hautte-kotto : Prefecture,4085,4021,8106,,,,,,,,,,,,,,,
2011,Central African Rep.,Haut-mboumou : Prefecture,7043,6838,13881,,,,,,,,,,,,,,,
2012,Central African Rep.,Nana-Gribizi : Economic Prefecture,0,0,857,,,,,,,,,,,,,,,
2012,Central African Rep.,Mongoumba : Sous-prefecture,3081,2909,5990,,,,,,,,,,,,,,,
2012,Central African Rep.,Bamingui-Bangoran : Prefecture,0,0,14659,,,,,,,,,,,,,,,
2012,Central African Rep.,Zemio : Sous-prefecture,1494,1472,2966,,,,,,,,,,,,,,,
2012,Central African Rep.,Vakaga : Prefecture,0,0,7485,,,,,,,,,,,,,,,
2012,Central African Rep.,Ouham-Pende : Prefecture,0,0,14237,,,,,,,,,,,,,,,
2012,Central African Rep.,Ouham : Prefecture,0,0,18518,,,,,,,,,,,,,,,
2012,Central African Rep.,Ombella M'Poko,0,0,150,,,,,,,,,,,,,,,
2012,Central African Rep.,Obo : Sous-prefecture,213,190,403,,,,,,,,,,,,,,,
2012,Central African Rep.,Momou : Point,0,0,9783,,,,,,,,,,,,,,,
2012,Central African Rep.,Mboki : Point,84,103,187,,,,,,,,,,,,,,,
2012,Central African Rep.,Haute-Kotto : Prefecture,0,0,9524,,,,,,,,,,,,,,,
2012,Central African Rep.,Haut-Mbomou : Prefecture,0,0,13012,,,,,,,,,,,,,,,
2012,Central African Rep.,Bangui : Commune,1764,1900,5105,,,,,,,,,,,,,,,
2012,Central African Rep.,Bambari : Sous-prefecture,1050,917,3167,,,,,,,,,,,,,,,
2013,Central African Rep.,Zemio : Sous-prefecture,0,0,3225,,,,,,,,,,,,,,,
2013,Central African Rep.,Ouham-Pende : Prefecture,0,0,23675,,,,,,,,,,,,,,,
2013,Central African Rep.,Ouham : Prefecture,0,0,171123,,,,,,,,,,,,,,,
2013,Central African Rep.,Ouaka,0,0,33675,,,,,,,,,,,,,,,
2013,Central African Rep.,Ombella M'Poko : Prefecture,0,0,14921,,,,,,,,,,,,,,,
2013,Central African Rep.,Nana-Gribizi : Economic prefecture,0,0,6182,,,,,,,,,,,,,,,
2013,Central African Rep.,Mbomou : Prefecture,0,0,46420,,,,,,,,,,,,,,,
2013,Central African Rep.,Mambere Kadei,0,0,2000,,,,,,,,,,,,,,,
2013,Central African Rep.,Lobaye,0,0,7575,,,,,,,,,,,,,,,
2013,Central African Rep.,Kemo,0,0,23087,,,,,,,,,,,,,,,
2013,Central African Rep.,Haute-Kotto : Prefecture,0,0,16340,,,,,,,,,,,,,,,
2013,Central African Rep.,Haut-Mbomou : Prefecture,0,0,17549,,,,,,,,,,,,,,,
2013,Central African Rep.,Batalimo,0,0,6060,,,,,,,,,,,,,,,
2013,Central African Rep.,Basse Kotto,0,0,25225,,,,,,,,,,,,,,,
2013,Central African Rep.,Bangui : Commune,0,0,502437,,,,,,,,,,,,,,,
2013,Central African Rep.,Bamingui-Bangoran : Prefecture,0,0,9918,,,,,,,,,,,,,,,
2013,Central African Rep.,Bambari : Sous-prefecture,0,0,1967,,,,,,,,,,,,,,,
2014,Central African Rep.,Zemio : Sous-prefecture,1708,1680,3388,,,,,,,,,,,,,,,
2014,Central African Rep.,Vakaga : Prefecture,*,*,1526,,,,,,,,,,,,,,,
2014,Central African Rep.,Sangha Mbaere,*,*,2945,,,,,,,,,,,,,,,
2014,Central African Rep.,Ouham-Pende : Prefecture,*,*,23675,,,,,,,,,,,,,,,
2014,Central African Rep.,Ouham : Prefecture,*,*,171123,,,,,,,,,,,,,,,
2014,Central African Rep.,Ouaka,*,*,44957,,,,,,,,,,,,,,,
2014,Central African Rep.,Ombella M'Poko : Prefecture,*,*,58368,,,,,,,,,,,,,,,
2014,Central African Rep.,Nana-Gribizi : Economic prefecture,*,*,48283,,,,,,,,,,,,,,,
2014,Central African Rep.,Nana Mambere,*,*,8735,,,,,,,,,,,,,,,
2014,Central African Rep.,Mbomou : Prefecture,*,*,46420,,,,,,,,,,,,,,,
2014,Central African Rep.,Mambere Kadei,*,*,16545,,,,,,,,,,,,,,,
2014,Central African Rep.,Lobaye,*,*,38014,,,,,,,,,,,,,,,
2014,Central African Rep.,Kemo,*,*,23087,,,,,,,,,,,,,,,
2014,Central African Rep.,Haute-Kotto : Prefecture,*,*,16340,,,,,,,,,,,,,,,
2014,Central African Rep.,Haut-Mbomou: Obo/Mboki,317,273,590,,,,,,,,,,,,,,,
2014,Central African Rep.,Haut-Mbomou : Prefecture,*,*,17549,,,,,,,,,,,,,,,
2014,Central African Rep.,Batalimo,71,75,146,,,,,,,,,,,,,,,
2014,Central African Rep.,Basse Kotto,*,*,25225,,,,,,,,,,,,,,,
2014,Central African Rep.,Bangui : Commune,1058,1120,498909,,,,,,,,,,,,,,,
2014,Central African Rep.,Bamingui-Bangoran : Prefecture,*,*,9918,,,,,,,,,,,,,,,
2014,Central African Rep.,Bambari: Pladama-Ouaka,969,832,1801,,,,,,,,,,,,,,,
